x,y,q
30,23.686712321379424,2
13.37533733457305,25.961817616059903,4
0,15.415955326399521,5
25.247157117721436,39.9012421899244,1
19.807291942234663,21.953106014073153,3
11.62401669352402,17.193633592322783,2
17.603298329360314,30.869946670065733,2
20.504537484586884,40,5
6.764235425321814,29.93226921053156,1
19.926604675279233,8.7535777315381,2
25.59001061774659,11.663402832144003,2
14.591994821686978,6.591591009439419,5
15.518524873148513,17.915250031264506,3
30,18.929599860221305,5
11.793979213934069,29.072523077495106,5
23.051192135190277,39.64345392087827,2
0.4218281283151786,0,3
26.357101523101992,13.872864588448373,3
8.7291754714804,0,2
23.214623036402514,40,2
